#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
160000	80.00000000019996	-9381.823738781335	2350.5561695167526	-7031.267569264583	292.2035412589034	6.476460544000001	1.0033555317817326	24.7	23:55:21
162000	81.00000000020474	-9469.074777880676	2292.25183669116	-7176.822941189516	284.95558320398976	6.476460544000001	1.0033555317817326	24.7	23:55:18
164000	82.00000000020951	-9420.508042779684	2321.8849483662534	-7098.62309441343	288.63934974497954	6.476460544000001	1.0033555317817326	24.7	23:55:14
166000	83.00000000021429	-9488.887841966061	2456.1690810080077	-7032.718760958054	305.3325475513812	6.476460544000001	1.0033555317817326	24.7	23:55:11
168000	84.00000000021906	-9570.707281309215	2381.3121879822916	-7189.3950933269225	296.0268991633871	6.476460544000001	1.0033555317817326	24.7	23:55:07
170000	85.00000000022384	-9600.66372037432	2358.7549218254185	-7241.9087985489	293.2227487509708	6.476460544000001	1.0033555317817326	24.7	23:55:04
172000	86.00000000022861	-9516.493344861232	2384.089982484096	-7132.403362377136	296.3722137748152	6.476460544000001	1.0033555317817326	24.7	23:55:00
174000	87.00000000023338	-9528.097179525212	2347.2705490446538	-7180.826630480558	291.7950975256157	6.476460544000001	1.0033555317817326	24.7	23:54:57
176000	88.00000000023816	-9635.739297728273	2500.3653517706534	-7135.373945957619	310.82669697642444	6.476460544000001	1.0033555317817326	24.7	23:54:53
178000	89.00000000024293	-9575.162184782035	2511.702992863256	-7063.459191918779	312.2361076170823	6.476460544000001	1.0033555317817326	24.7	23:54:50
180000	90.00000000024771	-9572.0071149246	2330.609510978019	-7241.397603946581	289.7239220364883	6.476460544000001	1.0033555317817326	24.7	23:54:46
182000	91.00000000025248	-9678.767198146343	2377.3668890510144	-7301.400309095328	295.5364491439429	6.476460544000001	1.0033555317817326	24.7	23:54:43
184000	92.00000000025726	-9589.34300237175	2413.5401153836847	-7175.802886988065	300.0332337646393	6.476460544000001	1.0033555317817326	24.7	23:54:39
186000	93.00000000026203	-9656.098988873106	2422.4534998913864	-7233.64548898172	301.1412789802906	6.476460544000001	1.0033555317817326	24.7	23:54:36
188000	94.00000000026681	-9528.179656280723	2430.292969485215	-7097.886686795508	302.11582313567624	6.476460544000001	1.0033555317817326	24.7	23:54:32
190000	95.00000000027158	-9651.06303263933	2411.5582761630803	-7239.504756476249	299.7868663533958	6.476460544000001	1.0033555317817326	24.7	23:54:29
192000	96.00000000027636	-9518.581484135986	2467.875944522664	-7050.705539613322	306.7878571586902	6.476460544000001	1.0033555317817326	24.7	23:54:25
194000	97.00000000028113	-9589.976983930908	2425.2703394710798	-7164.706644459829	301.4914473834196	6.476460544000001	1.0033555317817326	24.7	23:54:21
196000	98.00000000028591	-9699.97316398382	2467.4410392948835	-7232.532124688936	306.73379299748547	6.476460544000001	1.0033555317817326	24.7	23:54:18
198000	99.00000000029068	-9460.067412101955	2430.8195606944378	-7029.247851407517	302.1812850115192	6.476460544000001	1.0033555317817326	24.7	23:54:15
200000	100.00000000029546	-9562.003395423682	2463.144717629073	-7098.858677794609	306.19970646025746	6.476460544000001	1.0033555317817326	24.7	23:54:11
