#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
124000	62.000000000114014	-20031.22466001308	5315.148335932147	-14716.076324080932	303.1130430365034	15.625	0.9061209389598979	18.9	23:55:17
126000	63.00000000011879	-19956.6036372778	5226.74374759606	-14729.85988968174	298.0714934699961	15.625	0.9061209389598979	18.9	23:55:13
128000	64.00000000012356	-20023.72944228426	5244.188229604193	-14779.541212680067	299.0663198965578	15.625	0.9061209389598979	18.9	23:55:08
130000	65.00000000012834	-19943.687821249765	5212.651813720905	-14731.036007528859	297.2678566400903	15.625	0.9061209389598979	18.9	23:55:03
132000	66.00000000013311	-19889.336343488267	5138.53962466256	-14750.796718825706	293.04137607327243	15.625	0.9061209389598979	18.9	23:54:59
134000	67.00000000013789	-19931.142318105885	5348.015553774324	-14583.126764331562	304.9873994583057	15.625	0.9061209389598979	18.9	23:54:54
136000	68.00000000014266	-19961.014219690223	5321.036124337707	-14639.978095352515	303.44881267971346	15.625	0.9061209389598979	18.9	23:54:50
138000	69.00000000014744	-19847.951693800387	5090.4825893701345	-14757.469104430253	290.3007725592889	15.625	0.9061209389598979	18.9	23:54:45
140000	70.00000000015221	-20091.858671248625	5331.0670271563895	-14760.791644092234	304.0208564470001	15.625	0.9061209389598979	18.9	23:54:40
142000	71.00000000015699	-19886.159926781063	5341.0049617769155	-14545.154965004149	304.58759841052375	15.625	0.9061209389598979	18.9	23:54:36
144000	72.00000000016176	-19905.541147740536	5375.585283289791	-14529.955864450745	306.5596499546149	15.625	0.9061209389598979	18.9	23:54:31
146000	73.00000000016654	-19928.28501846302	5122.238846316799	-14806.04617214622	292.1117729435076	15.625	0.9061209389598979	18.9	23:54:27
148000	74.00000000017131	-20213.208336864525	5422.2836316735	-14790.924705191024	309.2227700763381	15.625	0.9061209389598979	18.9	23:54:22
150000	75.00000000017609	-19922.57077714451	5276.758419951441	-14645.812357193066	300.9237373916993	15.625	0.9061209389598979	18.9	23:54:17
152000	76.00000000018086	-19819.23336705904	5081.091654556421	-14738.14171250262	289.7652249793467	15.625	0.9061209389598979	18.9	23:54:13
154000	77.00000000018564	-20143.450603023168	5100.561822153935	-15042.888780869233	290.87557249477084	15.625	0.9061209389598979	18.9	23:54:08
156000	78.00000000019041	-19970.343915951435	5081.1261016054605	-14889.217814345975	289.76718943060905	15.625	0.9061209389598979	18.9	23:54:04
158000	79.00000000019519	-19997.209879537655	5262.5421116721245	-14734.66776786553	300.11300772040164	15.625	0.9061209389598979	18.9	23:53:59
160000	80.00000000019996	-19860.6955577914	5179.850488122209	-14680.845069669193	295.3972579306174	15.625	0.9061209389598979	18.9	23:53:54
162000	81.00000000020474	-19892.18322706979	5451.132675405037	-14441.050551664752	310.86797748758636	15.625	0.9061209389598979	18.9	23:53:50
164000	82.00000000020951	-19726.874170442414	5247.315565049943	-14479.55860539247	299.2446660317256	15.625	0.9061209389598979	18.9	23:53:45
166000	83.00000000021429	-19659.60191659084	5331.33882682423	-14328.26308976661	304.0363566775127	15.625	0.9061209389598979	18.9	23:53:41
168000	84.00000000021906	-19890.966990590332	5584.048705588527	-14306.918285001804	318.4479319556273	15.625	0.9061209389598979	18.9	23:53:36
170000	85.00000000022384	-19851.991688689825	5393.7397270621495	-14458.251961627675	307.5949641826814	15.625	0.9061209389598979	18.9	23:53:31
172000	86.00000000022861	-19876.906647668384	5274.834853046027	-14602.071794622356	300.81403994181954	15.625	0.9061209389598979	18.9	23:53:27
174000	87.00000000023338	-19701.150808233677	5325.844322491145	-14375.30648574253	303.72301529489886	15.625	0.9061209389598979	18.9	23:53:22
176000	88.00000000023816	-19969.792558294837	5223.810383886233	-14745.982174408604	297.90420918285633	15.625	0.9061209389598979	18.9	23:53:18
178000	89.00000000024293	-20321.67870950473	5161.327325571996	-15160.351383932733	294.34091635510606	15.625	0.9061209389598979	18.9	23:53:13
180000	90.00000000024771	-20330.258095722093	5230.177318502091	-15100.080777220002	298.2673036449959	15.625	0.9061209389598979	18.9	23:53:09
182000	91.00000000025248	-20207.37464953569	5431.725674207144	-14775.648975328546	309.7612322346762	15.625	0.9061209389598979	18.9	23:53:04
184000	92.00000000025726	-19924.478061180875	5417.694790454837	-14506.783270726039	308.96107697994853	15.625	0.9061209389598979	18.9	23:52:59
186000	93.00000000026203	-19919.58667950599	5263.605878833559	-14655.98080067243	300.1736723869368	15.625	0.9061209389598979	18.9	23:52:55
188000	94.00000000026681	-19747.787286433046	5136.121160189576	-14611.66612624347	292.9034555337974	15.625	0.9061209389598979	18.9	23:52:50
190000	95.00000000027158	-19946.750558095955	5357.995485695597	-14588.755072400358	305.55653644993083	15.625	0.9061209389598979	18.9	23:52:46
192000	96.00000000027636	-19884.64826602981	5328.158738926224	-14556.489527103586	303.85500216791763	15.625	0.9061209389598979	18.9	23:52:41
194000	97.00000000028113	-20005.44111820451	5079.519024054834	-14925.922094149679	289.6755407811305	15.625	0.9061209389598979	18.9	23:52:36
196000	98.00000000028591	-20412.422563432014	5215.716004111124	-15196.70655932089	297.442601729958	15.625	0.9061209389598979	18.9	23:52:32
198000	99.00000000029068	-19996.53671149449	5216.745570471205	-14779.791141023285	297.5013159882793	15.625	0.9061209389598979	18.9	23:52:27
200000	100.00000000029546	-20092.297454032418	5306.899803575726	-14785.397650456693	302.64264454804777	15.625	0.9061209389598979	18.9	23:52:23
